Close,Date,High,Low,Open
13412.44,1514761200000,13887.2,14169.87,13860.14
14740.76,1514847600000,15216.76,14169.87,13412.44
15134.65,1514934000000,15393.97,14169.87,14740.76
15155.23,1515020400000,15394.99,14169.87,15134.65
16937.17,1515106800000,17118.36,14169.87,15155.23
17135.84,1515193200000,17211.92,14169.87,16937.17
16178.49,1515279600000,17144.85,14169.87,17135.84
14970.36,1515366000000,16269.69,14169.87,16178.49
14439.47,1515452400000,15360.13,14169.87,14970.36
14890.72,1515538800000,14890.72,13455.7,14439.47
13287.26,1515625200000,14942.61,12836.91,14890.72
13812.71,1515711600000,14095.06,12878.6,13287.26
14188.78,1515798000000,14536.54,13810.84,13812.71
13619.03,1515884400000,14352.84,13051.59,14188.78
13585.9,1515970800000,14307.53,13401.24,13619.03
11348.02,1516057200000,13601.43,10063.12,13585.9
11141.25,1516143600000,11751.26,9199.59,11348.02
11250.65,1516230000000,12045.09,10663.94,11141.25
11514.92,1516316400000,11955.44,10988.79,11250.65
12759.64,1516402800000,13007.25,11498.04,11514.92
11522.86,1516489200000,12759.64,11096.05,12759.64
10772.15,1516575600000,11868.71,10050.79,11522.86
10839.83,1516662000000,11358.34,9972.29,10772.15
11399.52,1516748400000,11474.21,10497.15,10839.83
11137.24,1516834800000,11711,10889.04,11399.52
11090.06,1516921200000,11608.51,10321.04,11137.24
11407.15,1517007600000,11574.36,10855.46,11090.06
11694.47,1517094000000,11942.25,11363.25,11407.15
11158.39,1517180400000,11765.4,11007.79,11694.47
10035,1517266800000,11191.8,9810.17,11158.39
10166.51,1517353200000,10334.42,9627.89,10035
